Ranking,Company,Market Cap (USD),Stock,Country,Sector,Industry
966,Deckers Outdoor Corporation,$17.45 B,"DECK
                                        

wb_incandescent",United States,Consumer Discretionary,Footwear & Accessories
967,BeiGene Ltd,$17.44 B,"6160
                                        

wb_incandescent",China,Healthcare,Biotechnology
968,Essity AB,$17.43 B,"ESSITY.A
                                        

wb_incandescent",Sweden,Consumer Staples,Household & Personal Products
969,PTT Exploration & Production PCL,$17.43 B,"PTTEP
                                        

wb_incandescent",Thailand,Energy,Oil & Gas E&P
970,Olympus Corp,$17.43 B,"7733
                                        

wb_incandescent",Japan,Healthcare,Medical Instruments & Supplies
971,Guotai Junan Securities Co. Ltd,$17.42 B,"601211
                                        

wb_incandescent",China,Financials,Capital Markets
972,Erie Indemnity Company,$17.42 B,"ERIE
                                        

wb_incandescent",United States,Financials,Insurance Brokers
973,FactSet Research Systems Inc.,$17.40 B,"FDS
                                        

wb_incandescent",United States,Financials,Financial Data & Stock Exchanges
974,CMS Energy Corporation,$17.32 B,"CMS
                                        

wb_incandescent",United States,Utilities,Utilities—Regulated Electric
975,"Coca-Cola FEMSA, S.A.B. de C.V.",$17.26 B,"KOFUBL
                                        

wb_incandescent",Mexico,Consumer Staples,Beverages—Non-Alcoholic
976,WSP Global Inc.,$17.24 B,"WSP
                                        

wb_incandescent",Canada,Industrials,Engineering & Construction
977,Nomura Research Institute Ltd,$17.21 B,"4307
                                        

wb_incandescent",Japan,Technology,Information Technology Services
978,"Abiomed, Inc.","$17.18 B
                                            (Dec. 1, 2022)","ABMD
                                        

wb_incandescent",United States,Healthcare,Medical Devices
979,Hubbell Incorporated,$17.16 B,"HUBB
                                        

wb_incandescent",United States,Industrials,Electrical Equipment & Parts
980,"Tyler Technologies, Inc.",$17.14 B,"TYL
                                        

wb_incandescent",United States,Technology,Software—Application
981,Brookfield Renewable Partners L.P.,$17.12 B,"BEP.UN
                                        

wb_incandescent",Bermuda,Utilities,Utilities—Renewable
982,"Sun Communities, Inc.",$17.11 B,"SUI
                                        

wb_incandescent",United States,Real Estate,REIT—Residential
983,"Nuance Communications, Inc.","$17.11 B
                                            (March 1, 2022)","NUAN
                                        

wb_incandescent",United States,Technology,Software—Application
984,Northern Trust Corporation,$17.09 B,"NTRS
                                        

wb_incandescent",United States,Financials,Asset Management
985,UCB SA,$17.08 B,"UCB
                                        

wb_incandescent",Belgium,Healthcare,Biotechnology
986,China Coal Energy Co Ltd,$17.01 B,"601898
                                        

wb_incandescent",China,Energy,Thermal Coal
987,Nan Ya Plastics Corp,$16.96 B,"1303
                                        

wb_incandescent",Taiwan,Basic Materials,Specialty Chemicals
988,Will Semiconductor Co. Ltd,$16.91 B,"603501
                                        

wb_incandescent",China,Technology,Semiconductors
989,Santos Limited,$16.90 B,"STO
                                        

wb_incandescent",Australia,Energy,Oil & Gas E&P
990,Seagate Technology plc,$16.90 B,"STX
                                        

wb_incandescent",Ireland,Technology,Computer Hardware
991,Terna - Rete Elettrica Nazionale Società per Azioni,$16.87 B,"TRN
                                        

wb_incandescent",Italy,Utilities,Utilities—Regulated Electric
992,Weichai Power Co Ltd,$16.85 B,"000338
                                        

wb_incandescent",China,Industrials,Specialty Industrial Machinery
993,Omnicom Group Inc.,$16.84 B,"OMC
                                        

wb_incandescent",United States,Communication Services,Advertising Agencies
994,ZTO Express (Cayman) Inc.,$16.84 B,"ZTO
                                        

wb_incandescent",China,Industrials,Integrated Freight & Logistics
995,"Skyworks Solutions, Inc.",$16.83 B,"SWKS
                                        

wb_incandescent",United States,Technology,Semiconductors
996,Tatneft PJSC,$16.83 B,"TATN
                                        

wb_incandescent",Russia,Energy,Oil & Gas Integrated
997,WiseTech Global Limited,$16.80 B,"WTC
                                        

wb_incandescent",Australia,Technology,Software—Application
998,Shanghai International Port,$16.80 B,"600018
                                        

wb_incandescent",China,Industrials,Marine Shipping
999,"EPAM Systems, Inc.",$16.75 B,"EPAM
                                        

wb_incandescent",United States,Technology,Information Technology Services
1000,"Enphase Energy, Inc.",$16.75 B,"ENPH
                                        

wb_incandescent",United States,Technology,Solar
